word,pos,score
반짝거리다,Verb,0.325
일정하다,Adjective,0.25
힘없다,Adjective,-0.525
겨루다,Verb,0.225
안이하다,Adjective,-0.375
뻥까다,Verb,-0.222222222
탁하다,Adjective,-0.4
숨다,Verb,-0.2
푹신하다,Adjective,0.525
솟아오르다,Verb,0.275
앓다,Verb,-0.175
시큰하다,Adjective,-0.075
기발하다,Adjective,0.475
탄탄하다,Adjective,0.525
우유부단하다,Adjective,-0.325
빠져나오다,Verb,0.15
꾸다,Verb,0.15
잡아먹다,Verb,-0.35
한심하다,Adjective,-0.45
싸매다,Verb,0.025
비다,Verb,-0.275
올바르다,Adjective,0.5
씰룩거리다,Verb,-0.025
친절하다,Adjective,0.8
겸손하다,Adjective,0.6
크다,Verb,0.3
완고하다,Adjective,-0.05
울먹이다,Verb,-0.275
느릿하다,Adjective,-0.375
특수하다,Adjective,0.075
명확하다,Adjective,0.525
꼬부리다,Verb,-0.222222222
가녀리다,Adjective,0.075
시무룩하다,Adjective,-0.4
더듬다,Verb,-0.375
길들다,Verb,0.225
창피하다,Adjective,-0.175
들려주다,Verb,0.275
깔리다,Verb,-0.3
많아지다,Verb,0.475
떠내다,Verb,0.125
멀다,Adjective,-0.075
저급하다,Adjective,-0.325
끌리다,Verb,0.15
뚱하다,Adjective,-0.325
피터지다,Adjective,-0.4
넓다,Adjective,0.225
킬킬거리다,Verb,-0.35
서럽다,Verb,-0.416666667
궁금하다,Adjective,0.3
마르다,Adjective,-0.125
바삭바삭하다,Verb,0.375
상심하다,Verb,-0.525
어울리다,Verb,0.525
명랑하다,Adjective,0.675
반기다,Verb,0.575
손쉽다,Adjective,0.325
정갈하다,Adjective,0.375
잘라먹다,Verb,-0.175
미묘하다,Adjective,0.025
볼메다,Adjective,-0.025
끼다,Verb,-0.175
스며들다,Verb,0.3
쭈그러뜨리다,Verb,-0.166666667
자유분방하다,Adjective,0.55
아득하다,Adjective,0.075
서운하다,Adjective,-0.35
꾸리다,Verb,0.275
치우치다,Verb,-0.275
바닥나다,Verb,-0.225
깜찍하다,Adjective,0.425
비열하다,Adjective,-0.475
전부하다,Adjective,0.075
애틋하다,Adjective,0.325
후비다,Verb,-0.175
난데없다,Adjective,-0.3
세련되다,Adjective,0.575
씬나다,Adjective,0.525
엄숙하다,Adjective,0.05
손꼽다,Verb,0.4
굵다,Adjective,0.075
위험하다,Adjective,-0.55
만지작대다,Verb,-0.055555556
윈윈하다,Verb,0.3
창궐하다,Verb,0.05
구부정하다,Adjective,-0.25
옹졸하다,Adjective,-0.325
깨닫다,Verb,0.525
몰아치다,Verb,0.05
지겹다,Adjective,-0.275
용이하다,Adjective,0.45
깨지다,Verb,-0.375
헤집다,Verb,-0.15
깔보다,Verb,-0.4
순수하다,Adjective,0.625
간편하다,Adjective,0.575
없다,Adjective,-0.475
새침하다,Adjective,0.075
너덜너덜하다,Adjective,-0.25
영리하다,Adjective,0.475
감싸다,Verb,0.35
기이하다,Adjective,-0.2
흡사하다,Adjective,0.075
진부하다,Adjective,-0.325
술렁거리다,Verb,-0.25
사로자다,Verb,0
흔하다,Adjective,-0.275
드러내다,Verb,0.15
짤깍거리다,Verb,-0.138888889
창단하다,Verb,0.3
진압하다,Verb,-0.1
진지하다,Adjective,0.3
치료받다,Verb,0.5
희다,Adjective,0.15
흘러내리다,Verb,-0.15
두려워하다,Verb,-0.45
여위다,Verb,-0.15
번번하다,Adjective,0
비뚤어지다,Verb,-0.55
다분하다,Adjective,-0.075
날카로워지다,Verb,-0.5
짱짱하다,Adjective,0.5
싫다,Adjective,-0.55
다니다,Verb,0.3
잊다,Verb,-0.275
떨다,Verb,0
나대다,Verb,-0.4
지워지다,Verb,-0.375
포획하다,Verb,-0.05
격노하다,Adjective,-0.425
팍팍하다,Adjective,-0.3
쏠쏠하다,Adjective,0.65
흠잡다,Adjective,-0.275
애청하다,Verb,0.25
건장하다,Adjective,0.375
간사하다,Adjective,-0.175
빠뜨리다,Verb,-0.375
익숙하다,Adjective,0.4
친숙하다,Adjective,0.725
되돌리다,Verb,0.4
벌주다,Verb,-0.45
뽀얘지다,Verb,0.444444444
빌리다,Verb,0.175
씩씩하다,Adjective,0.475
험하다,Adjective,-0.475
평등하다,Adjective,0.65
역주하다,Verb,-0.175
히트치다,Verb,0.375
이르다,Verb,0.025
붙들다,Verb,-0.125
선하다,Adjective,0.55
잠잠하다,Verb,0.15
더하다,Adjective,0.4
쓰리다,Adjective,-0.25
다양해지다,Verb,0.25
불쾌하다,Adjective,-0.575
어리둥절하다,Adjective,-0.05
그득하다,Adjective,0.3
면밀하다,Adjective,0.325
핥다,Verb,0
솔깃하다,Adjective,0.5
시큰둥하다,Adjective,-0.175
절묘하다,Adjective,0.325
뿌옇다,Adjective,-0.25
허무하다,Adjective,-0.25
창출되다,Verb,0.55
혼나다,Verb,-0.4
뿌듯하다,Adjective,0.575
간지럽다,Adjective,0
놀리다,Verb,-0.125
나눠지다,Verb,0.275
미미하다,Adjective,-0.125
선명하다,Adjective,0.425
찢어지다,Verb,-0.525
예쁘다,Adjective,0.725
몰인정하다,Adjective,-0.2
드라마틱하다,Adjective,0.55
아니꼽다,Adjective,-0.225
잊어버리다,Verb,-0.325
진실하다,Adjective,0.6
다정하다,Adjective,0.625
뿜어내다,Verb,0.175
따라하다,Verb,0.1
미비하다,Adjective,-0.25
낑기다,Adjective,-0.175
시집가다,Verb,0.175
뜨다,Verb,0.05
꼼꼼하다,Adjective,0.625
남부럽다,Adjective,0.1
활발해지다,Verb,0.525
멀뚱하다,Adjective,-0.025
찝찝하다,Adjective,-0.225
안떨어지다,Verb,-0.125
멀쩡하다,Adjective,0.4
쫓아내다,Verb,-0.325
재미없다,Adjective,-0.575
만무하다,Adjective,-0.025
구태의연하다,Adjective,-0.025
빡치다,Adjective,-0.525
즐거워하다,Verb,0.725
추악하다,Adjective,-0.45
끝없다,Adjective,-0.05
선점하다,Verb,0.275
부각시키다,Verb,0.225
열렬하다,Adjective,0.325
장난없다,Adjective,-0.125
식겁하다,Adjective,-0.225
아쉬워하다,Verb,-0.075
삭이다,Verb,-0.1
잘되다,Verb,0.525
나누다,Verb,0.4
식다,Verb,-0.075
극심하다,Adjective,-0.3
찬란하다,Adjective,0.575
헐다,Verb,-0.3
함께하다,Verb,0.575
새하얘지다,Adjective,0.333333333
떼쓰다,Verb,-0.4
젖다,Verb,0.05
끈질기다,Adjective,0.025
파여지다,Verb,-0.166666667
허비하다,Adjective,-0.275
삭막하다,Adjective,-0.3
차근차근하다,Adjective,0.475
구기다,Verb,-0.275
빠져들다,Verb,0.4
일축하다,Verb,-0.025
앗다,Verb,-0.3
파지다,Verb,-0.194444444
처절하다,Adjective,-0.175
키우다,Verb,0.375
나쁘다,Adjective,-0.625
뛰어들다,Verb,-0.025
대단하다,Adjective,0.65
찌들다,Verb,-0.3
떠내려가다,Verb,-0.15
희미하다,Adjective,-0.175
가혹하다,Adjective,-0.5
순결하다,Adjective,0.3
넘어지다,Verb,-0.4
나가다,Verb,0
날아다니다,Verb,0.375
자극시키다,Verb,0.125
알차다,Adjective,0.55
도와주다,Verb,0.45
삐뚤어지다,Verb,-0.475
때리다,Verb,-0.25
어려워지다,Verb,-0.25
엇갈리다,Verb,-0.35
솔직담백하다,Adjective,0.6
없애다,Verb,-0.2
당하다,Adjective,-0.275
저렴하다,Adjective,0.25
몰려들다,Verb,-0.125
신나다,Adjective,0.825
우습다,Adjective,-0.225
살아가다,Verb,0.375
잘살다,Verb,0.5
둔하다,Adjective,-0.325
바꾸다,Verb,0.2
들먹이다,Verb,-0.1
다물다,Verb,-0.05
다지다,Verb,0.175
이루다,Verb,0.6
파이다,Verb,-0.3
깜짝이다,Verb,0.138888889
발기다,Verb,-0.2
차분해지다,Verb,0.35
우물거리다,Verb,-0.175
잡히다,Verb,-0.125
다그치다,Verb,-0.275
편리하다,Adjective,0.775
참신하다,Adjective,0.55
무심하다,Adjective,-0.2
부추기다,Verb,-0.05
해내다,Verb,0.575
분주하다,Adjective,-0.175
아른아른하다,Verb,0.222222222
불거지다,Verb,-0.15
돋아나다,Verb,0.225
둘러싸이다,Verb,0.1
퍼지다,Verb,0
침통하다,Adjective,-0.275
심각해지다,Verb,-0.375
소상하다,Adjective,0.025
인정받다,Verb,0.5
애매모호하다,Adjective,-0.325
천하다,Adjective,-0.275
수줍다,Adjective,0.025
벙하다,Adjective,-0.175
평화스럽다,Adjective,0.725
호리호리하다,Adjective,0.194444444
평평하다,Adjective,-0.05
공손하다,Adjective,0.35
얼얼하다,Adjective,-0.1
느껴지다,Verb,0.275
내리쬐다,Verb,0.025
간략하다,Adjective,0.3
뻐근하다,Adjective,-0.325
감추다,Verb,-0.3
앙상하다,Adjective,-0.325
속절없다,Adjective,-0.375
낮아지다,Verb,-0.225
들이키다,Verb,0.2
부옇다,Adjective,-0.075
토끼다,Verb,-0.375
적체되다,Verb,-0.15
뚫리다,Verb,-0.175
심각하다,Adjective,-0.525
구리다,Adjective,-0.25
놔두다,Verb,0.075
치닫다,Verb,-0.1
쭈뼛거리다,Adjective,-0.1
집어치우다,Verb,-0.375
눈물나다,Verb,-0.225
아리땁다,Adjective,0.65
끼울다,Verb,0.05
붙잡히다,Verb,-0.45
버리다,Verb,-0.425
불가하다,Adjective,-0.475
어련하다,Adjective,-0.05
뻗치다,Verb,-0.25
기대하다,Adjective,0.475
치켜세우다,Verb,0.6
앞당겨지다,Verb,0.075
어렵다,Adjective,-0.45
쿨럭거리다,Verb,-0.194444444
눕다,Verb,0.15
허탈하다,Adjective,-0.175
움츠러들다,Verb,-0.275
알아채다,Verb,0.325
갸름하다,Adjective,0.1
아물다,Verb,0.425
투명하다,Adjective,0.275
난리치다,Verb,-0.475
느긋하다,Adjective,0.275
어엿하다,Adjective,0.375
유해하다,Adjective,-0.3
시꺼멓다,Adjective,-0.2
푸석푸석하다,Adjective,-0.138888889
듬직하다,Adjective,0.575
씹다,Verb,-0.325
부둥키다,Verb,0
검다,Adjective,-0.1
끓이다,Verb,0
구부러지다,Verb,-0.225
들여놓다,Verb,0.2
익다,Verb,0.3
지치다,Verb,-0.325
꿋꿋하다,Adjective,0.475
있다,Adjective,0.4
뜨이다,Verb,-0.05
아늑하다,Adjective,0.65
불행하다,Adjective,-0.475
뜯기다,Verb,-0.425
만나다,Verb,0.375
고소하다,Adjective,0.15
잘알다,Verb,0.55
비키다,Verb,-0.025
웃다,Verb,0.6
보슬보슬하다,Adjective,0.111111111
안질리다,Verb,0.361111111
불안정하다,Adjective,-0.525
부적합하다,Adjective,-0.325
바라다,Verb,0.45
따라다니다,Verb,0.125
비리다,Adjective,-0.4
흉하다,Adjective,-0.425
기다리다,Verb,0.125
돌려주다,Verb,0.175
시들시들하다,Adjective,-0.25
무례하다,Adjective,-0.4
포용하다,Verb,0.6
어른스럽다,Adjective,0.5
조급하다,Adjective,-0.45
조그맣다,Adjective,0.15
들추어내다,Verb,-0.075
불가피하다,Adjective,-0.25
울컥하다,Verb,-0.25
헐렁하다,Adjective,-0.05
둘러싸다,Verb,-0.15
어지간하다,Adjective,-0.175
청결하다,Adjective,0.65
친해지다,Verb,0.7
면면하다,Adjective,0.2
번듯하다,Adjective,0.35
눈부시다,Adjective,0.45
않다,Verb,-0.075
자욱하다,Adjective,-0.125
얌전하다,Adjective,0.4
아깝다,Adjective,-0.1
기르다,Verb,0.325
담하다,Adjective,0.325
속닥이다,Verb,-0.083333333
간단하다,Adjective,0.35
오그라들다,Verb,-0.175
노련하다,Adjective,0.5
짙어지다,Verb,0.075
꼬이다,Adjective,-0.25
오목하다,Adjective,0.05
부리다,Verb,0.125
긴급하다,Adjective,0.025
주무시다,Verb,0.225
엎드리다,Verb,-0.025
빼어나다,Adjective,0.55
하비다,Verb,-0.1
삐지다,Adjective,-0.275
아담하다,Adjective,0.375
안녕하다,Adjective,0.6
돋보이다,Verb,0.375
모자라다,Verb,-0.375
잘쓰다,Verb,0.55
불리하다,Adjective,-0.325
귀찮다,Adjective,-0.45
비통하다,Adjective,-0.575
대들다,Verb,-0.275
퍼렇다,Adjective,0.025
노려보다,Verb,-0.2
막히다,Verb,-0.275
값싸다,Verb,0.325
확고하다,Adjective,0.55
씨부리다,Verb,-0.6
저조하다,Adjective,-0.45
병들다,Verb,-0.4
정당하다,Adjective,0.4
불가사의하다,Adjective,0.2
많다,Adjective,0.3
밝아지다,Verb,0.525
뱉다,Verb,-0.375
탱탱하다,Adjective,0.425
애쓰다,Verb,-0.125
균일하다,Adjective,0.45
그리워하다,Verb,0.175
잦다,Verb,0.025
밝다,Verb,0.65
척박하다,Adjective,-0.275
음란하다,Adjective,0.05
어지럽히다,Verb,-0.3
대문짝만하다,Adjective,0.075
징징대다,Adjective,-0.45
대여받다,Verb,0.25
사귀다,Verb,0.65
튀어나오다,Verb,-0.1
폐쇄되다,Verb,-0.475
희한하다,Adjective,0.125
헐렁이다,Verb,-0.055555556
치러지다,Verb,-0.1
까맣다,Adjective,-0.025
조화롭다,Adjective,0.5
말다,Verb,-0.05
알아듣다,Verb,0.275
정중하다,Adjective,0.725
서늘하다,Adjective,-0.075
슬퍼하다,Verb,-0.45
썰다,Verb,0.125
잡아가다,Verb,0
틀어막다,Verb,-0.325
다급하다,Adjective,-0.075
출중하다,Adjective,0.625
헝클어뜨리다,Verb,-0.277777778
소심하다,Adjective,-0.175
얇다,Adjective,-0.1
끊기다,Verb,-0.2
꿈꾸다,Verb,0.575
유별나다,Adjective,0
날리다,Verb,0.2
찰칵하다,Verb,0.275
악화시키다,Verb,-0.5
침침하다,Adjective,-0.3
힘쓰다,Verb,0.25
일목요연하다,Adjective,0.45
걸리다,Verb,-0.15
따뜻하다,Adjective,0.65
능숙하다,Adjective,0.5
다름없다,Adjective,-0.075
춥다,Adjective,-0.325
슬프다,Adjective,-0.45
찢기다,Verb,-0.375
보살피다,Verb,0.375
의기소침하다,Adjective,-0.275
다가서다,Verb,0.35
쇠퇴하다,Adjective,-0.325
험준하다,Adjective,-0.275
잡다,Verb,0.05
짤막하다,Adjective,0.075
속닥속닥하다,Verb,-0.027777778
따내다,Verb,0.25
해코지하다,Verb,-0.3
친근하다,Adjective,0.6
끌어안다,Verb,0.45
짜지다,Verb,-0.35
쓰다듬다,Verb,0.4
컴컴하다,Adjective,-0.15
흡족하다,Adjective,0.5
값지다,Adjective,0.4
쬐다,Verb,0.2
들어주다,Verb,0.375
거북하다,Adjective,-0.475
반듯하다,Adjective,0.475
포동포동하다,Adjective,0.222222222
귀하다,Adjective,0.5
오비다,Verb,0
극명하다,Verb,-0.025
조악하다,Adjective,-0.325
토닥이다,Verb,0.475
튼튼하다,Adjective,0.6
씁쓸하다,Adjective,-0.45
썰렁하다,Adjective,-0.175
끊어지다,Verb,-0.275
친하다,Adjective,0.625
올라가다,Verb,0.45
어리바리하다,Adjective,-0.325
사뿐하다,Adjective,0.45
쑥스럽다,Adjective,0.125
가로막히다,Verb,-0.25
설파하다,Verb,0.1
사이좋다,Adjective,0.55
무력하다,Adjective,-0.475
특별하다,Adjective,0.5
갉다,Verb,-0.375
진정하다,Adjective,0.361111111
알뜰하다,Adjective,0.55
따돌리다,Verb,-0.275
헝클어지다,Verb,-0.275
넘다,Verb,0.3
잃어버리다,Verb,-0.175
밝혀지다,Verb,0.3
반가워하다,Verb,0.6
꼴다,Verb,-0.25
가능하다,Adjective,0.875
깨끗해지다,Verb,0.775
늠름하다,Adjective,0.475
척결하다,Verb,0.1
씻기다,Verb,0.45
미안하다,Adjective,-0.225
휘날리다,Verb,0.225
심해지다,Verb,-0.45
흐려지다,Verb,-0.3
자그맣다,Adjective,0.05
엷다,Adjective,0.075
순하다,Adjective,0.375
오가다,Verb,0.15
자자하다,Verb,0.1
얕다,Adjective,-0.15
화끈화끈하다,Verb,-0.027777778
각박하다,Adjective,-0.4
좋아지다,Verb,0.75
묻히다,Verb,-0.15
내쉬다,Verb,0.125
난폭하다,Adjective,-0.4
만들다,Verb,0.225
안락하다,Adjective,0.7
쉬다,Verb,0.4
기울이다,Verb,0.05
휘청하다,Verb,-0.175
우아하다,Adjective,0.475
촉촉하다,Adjective,0.425
찌다,Verb,-0.05
흐뭇다,Adjective,0.55
꾸준하다,Adjective,0.575
짜깁다,Verb,-0.225
신비롭다,Adjective,0.375
시들다,Verb,-0.25
유능하다,Adjective,0.625
복실복실하다,Adjective,0.388888889
조곤조곤하다,Adjective,0.45
나태하다,Adjective,-0.325
씩씩거리다,Verb,-0.45
축축하다,Adjective,-0.125
가르다,Verb,0.025
거들다,Verb,0.275
믿다,Verb,0.55
민감하다,Adjective,-0.1
변별하다,Verb,0.15
엉클다,Verb,-0.175
칼칼하다,Adjective,0.25
지껄이다,Verb,-0.25
웬만하다,Adjective,0.175
가뿐하다,Adjective,0.5
좋다,Adjective,0.875
가로막다,Verb,-0.2
해드리다,Verb,0.275
한눈팔다,Verb,-0.275
든든하다,Adjective,0.6
껌껌하다,Adjective,-0.25
갈아타다,Verb,-0.125
늙다,Verb,-0.2
끄덕이다,Verb,0.325
가까워지다,Verb,0.45
빼앗다,Verb,-0.1
불공평하다,Adjective,-0.475
사근사근하다,Adjective,0.444444444
크나크다,Adjective,0.425
쪼개다,Verb,-0.3
기특하다,Adjective,0.575
두리번거리다,Verb,-0.05
버벅대다,Verb,-0.275
이기다,Verb,0.575
거닐다,Verb,0.2
몰려오다,Verb,-0.2
비추다,Verb,0.075
건전하다,Adjective,0.35
벗어나다,Verb,0.35
확실하다,Adjective,0.475
먹이다,Verb,0.2
아쉽다,Adjective,-0.35
불어오다,Verb,0.25
뽀얗다,Adjective,0.3
역겹다,Adjective,-0.375
쌓다,Verb,0.475
야하다,Adjective,0.25
던지다,Verb,0.025
늘리다,Verb,0.25
호젓하다,Adjective,0.375
내려가다,Verb,-0.05
내디디다,Verb,0.1
급격하다,Adjective,-0.225
싱싱하다,Verb,0.7
근사하다,Adjective,0.525
움찔움찔하다,Verb,-0.083333333
나부끼다,Verb,-0.15
치켜뜨다,Verb,0.05
치졸하다,Adjective,-0.4
자라나다,Verb,0.475
파묻히다,Verb,-0.375
영롱하다,Adjective,0.375
꾸역꾸역하다,Verb,-0.138888889
낮추다,Verb,0.175
냉정하다,Adjective,-0.1
익숙해지다,Verb,0.275
우월하다,Adjective,0.45
조촐하다,Adjective,-0.075
죽다,Verb,-0.3
끓다,Verb,0.1
불규칙하다,Adjective,-0.25
처참하다,Adjective,-0.525
끝나다,Verb,0
따다,Verb,-0.025
줄어들다,Verb,-0.05
공정하다,Adjective,0.6
황당하다,Adjective,-0.05
차려입다,Verb,0.5
순진하다,Adjective,0.175
발칙하다,Adjective,-0.375
자르다,Verb,0.125
돌아오다,Verb,0.45
만만하다,Adjective,-0.175
짜증나다,Adjective,-0.525
착실하다,Adjective,0.65
가물가물하다,Verb,-0.3
잘빠지다,Verb,0.3
밉다,Adjective,-0.525
밟다,Verb,0.075
미흡하다,Adjective,-0.275
내보이다,Verb,0.275
고치다,Verb,0.475
해롭다,Adjective,-0.45
드리우다,Verb,0.15
차이다,Verb,-0.175
조심조심하다,Verb,0.275
사납다,Adjective,-0.375
부르짖다,Verb,-0.225
고만하다,Adjective,0.075
귀중하다,Adjective,0.525
속상하다,Adjective,-0.225
헤치다,Verb,-0.3
천박하다,Adjective,-0.525
무섭다,Adjective,-0.55
깨부수다,Verb,0.1
오동통하다,Adjective,0.25
좁히다,Verb,-0.075
칙칙하다,Adjective,-0.15
철저하다,Adjective,0.325
떠보다,Verb,0.025
가르치다,Verb,0.325
강대하다,Adjective,0.45
사랑스럽다,Adjective,0.7
시리다,Adjective,-0.2
소홀하다,Adjective,-0.325
야무지다,Adjective,0.5
모질다,Adjective,-0.2
달려들다,Verb,-0.175
다져지다,Verb,0.05
하찮다,Adjective,-0.475
앙이다,Adjective,0.075
수월하다,Adjective,0.7
녹이다,Verb,0.025
찧다,Verb,-0.05
하얘지다,Verb,0.3
번쩍번쩍하다,Verb,0.275
끙끙대다,Verb,-0.375
따지다,Verb,-0.2
깐깐하다,Adjective,-0.075
병약하다,Adjective,-0.275
주도하다,Adjective,0.425
넘기다,Verb,0.025
떠들다,Verb,-0.15
구르다,Verb,-0.15
말캉하다,Adjective,0.083333333
섹시하다,Adjective,0.3
딴다,Adjective,0.15
안남다,Adjective,-0.2
깨어지다,Verb,-0.3
거만하다,Adjective,-0.3
억울하다,Adjective,-0.2
들끓다,Verb,-0.05
슬기롭다,Adjective,0.575
쫓아오다,Verb,-0.25
쫓다,Verb,-0.1
살아나다,Verb,0.525
샘솟다,Verb,0.5
용다,Verb,0.125
사기당하다,Verb,-0.425
평화롭다,Adjective,0.775
나누어지다,Verb,-0.125
차가워지다,Verb,-0.2
너저분하다,Adjective,-0.275
북받치다,Verb,-0.225
타다,Verb,0.15
애지중지하다,Verb,0.175
어림없다,Adjective,-0.275
매달리다,Verb,-0.2
얼버무리다,Verb,-0.375
편하다,Adjective,0.7
잡아먹히다,Verb,-0.325
두텁다,Adjective,0.375
갑갑하다,Adjective,-0.475
무덥다,Adjective,-0.025
번하다,Adjective,0.05
묽다,Adjective,0
씹히다,Verb,-0.375
불가능하다,Adjective,-0.575
결연하다,Adjective,0.05
헤아리다,Verb,0.35
야만스럽다,Adjective,-0.475
얽히다,Verb,-0.125
벗다,Verb,0.15
배고프다,Adjective,-0.175
빠지다,Verb,-0.175
주목할만하다,Adjective,0.5
마땅하다,Adjective,0.275
괴롭다,Adjective,-0.45
매만지다,Verb,0.2
얽다,Verb,0.125
힘들어하다,Verb,-0.475
물색하다,Verb,0.1
여리다,Adjective,0.15
공평하다,Adjective,0.475
믿음직하다,Adjective,0.65
이상하다,Adjective,-0.325
시끄럽다,Adjective,-0.375
음울하다,Adjective,-0.25
빨다,Verb,0.075
무너지다,Verb,-0.4
작작하다,Adjective,-0.05
돌이키다,Verb,0.1
풍만하다,Adjective,0.325
채다,Verb,0.075
들쑥날쑥하다,Adjective,-0.125
비틀리다,Verb,-0.4
환수하다,Verb,-0.075
자비롭다,Adjective,0.675
달아오르다,Verb,0.25
패배하다,Adjective,-0.5
떨구다,Verb,-0.35
흥미롭다,Adjective,0.525
보풀다,Verb,0.166666667
교묘하다,Adjective,-0.125
뒤따르다,Verb,0.075
굳히다,Verb,0.1
광대하다,Adjective,0.325
어두워지다,Verb,-0.25
차근하다,Adjective,0.3
호화롭다,Adjective,0.5
짓눌리다,Verb,-0.275
아우르다,Verb,0.325
뛰어다니다,Verb,0.25
지저분하다,Adjective,-0.35
어설프다,Adjective,-0.325
악하다,Adjective,-0.45
치받다,Verb,-0.083333333
수군대다,Verb,-0.325
사리다,Verb,-0.325
예사롭다,Adjective,0.275
맞대다,Verb,0.275
대접받다,Verb,0.45
부풀다,Verb,0
쓰라리다,Adjective,-0.35
썰리다,Verb,-0.45
높이다,Verb,0.25
앞세우다,Verb,0.275
빌붙다,Verb,-0.25
알맞다,Adjective,0.55
까발리다,Verb,-0.225
적정하다,Adjective,0.4
풍기다,Verb,0.325
불쌍하다,Adjective,-0.075
힘겹다,Adjective,-0.375
흘리다,Verb,0
연결하다,Adjective,0.325
허전하다,Verb,-0.225
잘맞다,Adjective,0.55
자애롭다,Adjective,0.725
뛰어놀다,Verb,0.6
드물다,Adjective,-0.1
떠나다,Verb,-0.175
두근거리다,Adjective,0.65
진귀하다,Adjective,0.5
생기다,Verb,0.45
담담하다,Adjective,0.125
되찾다,Verb,0.475
적당하다,Adjective,0.4
빗어주다,Verb,0.194444444
맡기다,Verb,0.3
나가떨어지다,Verb,-0.4
옮기다,Verb,0.275
아찔하다,Adjective,-0.1
꼴리다,Verb,-0.05
놀다,Verb,0.575
열일하다,Verb,0.325
정정당당하다,Adjective,0.625
다재다능하다,Adjective,0.75
